s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 0.0000000E+000, 0.0000000E+000,-9.2499970E-003, 3.0670133E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2469299E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000
 2.4070401E-001, 0.0000000E+000,-1.6312525E-004,-1.3709481E-002, 0.0000000E+000,-3.9991354E-004, 5.3818661E-002, 0.0000000E+000, 0.0000000E+000, 3.9546141E-002, 0.0000000E+000, 1.2977415E-004, 0.0000000E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000
 4.8140803E-001, 8.2606262E+000, 3.3382582E-004,-2.2436076E-002, 3.4889909E-005,-8.0800834E-004, 1.8079064E+000, 0.0000000E+000,-1.0341698E+000, 1.0045657E+001, 8.0954189E+000, 2.6953093E-004, 0.0000000E+000,-2.9510495E+000,-2.9587146E+000,-2.9579817E+000,-2.9582240E+000,-2.9449987E+000,-2.9523577E+000,-2.9453177E+000
 7.2211206E-001, 1.3760683E+001,-4.6764066E-003,-2.8107702E-002,-1.0125151E-002,-1.1307230E-003, 4.6231806E+000, 0.0000000E+000, 1.0309058E+001, 1.8339824E+001, 1.5335546E+001, 3.9930508E-004, 0.0000000E+000,-2.2882562E+000,-2.9444619E+000,-2.9435403E+000,-2.9441714E+000,-2.9057815E+000,-2.9268437E+000,-2.9057981E+000
 9.6281606E-001, 3.1906970E+001,-1.6896456E+000,-1.9955499E-002,-3.8764210E-002,-1.4916662E-003, 9.0196789E+000, 0.0000000E+000, 1.7854956E+001, 3.9176792E+001, 2.1192003E+001, 5.2907923E-004, 0.0000000E+000,-1.1971509E+000,-2.9241409E+000,-2.9266297E+000,-2.9272800E+000,-2.8606425E+000,-2.8964653E+000,-2.8588602E+000
 1.2035201E+000, 3.1216113E+001,-4.0119524E+000,-1.9992044E-002,-1.0917761E-001,-1.9180711E-003, 1.1658817E+001, 0.0000000E+000, 4.0759437E+001, 3.8731890E+001, 2.5556254E+001, 6.6883601E-004, 0.0000000E+000, 1.1587661E+000,-2.8998837E+000,-2.9117688E+000,-2.9114637E+000,-2.8221519E+000,-2.8687440E+000,-2.8164674E+000
 1.4442241E+000, 7.0219760E+001,-1.4835156E+001, 7.9021227E-003,-1.8524003E-001,-2.3089310E-003, 1.6603095E+001, 0.0000000E+000, 3.6431139E+001, 7.1808052E+001, 2.8613789E+001, 7.9861016E-004, 0.0000000E+000, 3.2736126E+000,-2.8746213E+000,-2.9025243E+000,-2.8997816E+000,-2.7991147E+000,-2.8493175E+000,-2.7874138E+000
 1.6849281E+000, 4.5801894E+001,-1.2127037E+001, 1.1539168E-002,-3.3388648E-001,-2.8436762E-003, 1.7770485E+001, 0.0000000E+000, 7.5676348E+001, 5.1120151E+001, 3.0664366E+001, 9.3836693E-004, 0.0000000E+000, 7.5429636E+000,-2.8518476E+000,-2.9009010E+000,-2.8942637E+000,-2.7955624E+000,-2.8414101E+000,-2.7765202E+000
 1.9256321E+000, 8.0614566E+001,-1.9975069E+001, 4.0407144E-002,-4.0682033E-001,-3.3049622E-003, 1.8720599E+001, 0.0000000E+000, 4.5190575E+001, 7.8990378E+001, 3.1999657E+001, 1.0681411E-003, 0.0000000E+000, 1.0126124E+001,-2.8352167E+000,-2.9074587E+000,-2.8958418E+000,-2.8111059E+000,-2.8457853E+000,-2.7846617E+000
