,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2026-01-23T14:57:43.244+00:00, 0.241E+00,   0.24070, 0.38438E+01
      2,2026-01-23T14:57:43.396+00:00, 0.241E+00,   0.48141, 0.40000E+01
      3,2026-01-23T14:57:43.612+00:00, 0.241E+00,   0.72211, 0.42188E+01
      4,2026-01-23T14:57:43.766+00:00, 0.241E+00,   0.96282, 0.43750E+01
      5,2026-01-23T14:57:43.933+00:00, 0.241E+00,   1.20352, 0.45312E+01
      6,2026-01-23T14:57:44.151+00:00, 0.241E+00,   1.44422, 0.47500E+01
      7,2026-01-23T14:57:44.307+00:00, 0.241E+00,   1.68493, 0.49062E+01
      8,2026-01-23T14:57:44.461+00:00, 0.241E+00,   1.92563, 0.50625E+01
      9,2026-01-23T14:57:44.678+00:00, 0.241E+00,   2.16634, 0.52812E+01
     10,2026-01-23T14:57:44.831+00:00, 0.241E+00,   2.40704, 0.54375E+01
     20,2026-01-23T14:57:46.523+00:00, 0.241E+00,   4.81408, 0.71094E+01
     30,2026-01-23T14:57:48.329+00:00, 0.194E+00,   6.79738, 0.88906E+01
     40,2026-01-23T14:57:50.054+00:00, 0.166E+00,   8.70565, 0.10609E+02
     50,2026-01-23T14:57:51.867+00:00, 0.114E+00,  10.15726, 0.12422E+02
     60,2026-01-23T14:57:53.601+00:00, 0.125E+00,  11.33034, 0.14141E+02
     70,2026-01-23T14:57:55.328+00:00, 0.112E+00,  12.50416, 0.15859E+02
     80,2026-01-23T14:57:57.011+00:00, 0.123E+00,  13.69259, 0.17531E+02
     90,2026-01-23T14:57:58.766+00:00, 0.123E+00,  14.92586, 0.19281E+02
    100,2026-01-23T14:58:00.472+00:00, 0.123E+00,  16.15913, 0.20984E+02
    200,2026-01-23T14:58:17.876+00:00, 0.100E+00,  26.24023, 0.38375E+02
    300,2026-01-23T14:58:35.177+00:00, 0.867E-01,  35.48083, 0.55609E+02
    400,2026-01-23T14:58:52.851+00:00, 0.752E-01,  43.55276, 0.73219E+02
    500,2026-01-23T14:59:10.029+00:00, 0.797E-01,  50.93768, 0.90328E+02
    600,2026-01-23T14:59:27.438+00:00, 0.698E-01,  58.52339, 0.10766E+03
    700,2026-01-23T14:59:46.096+00:00, 0.678E-01,  65.44656, 0.12623E+03
    800,2026-01-23T15:00:03.989+00:00, 0.669E-01,  72.10193, 0.14405E+03
    900,2026-01-23T15:00:22.019+00:00, 0.561E-01,  78.39300, 0.16202E+03
   1000,2026-01-23T15:00:40.061+00:00, 0.600E-01,  84.47001, 0.17998E+03
   1100,2026-01-23T15:01:03.481+00:00, 0.569E-01,  90.68177, 0.20305E+03
   1200,2026-01-23T15:01:23.912+00:00, 0.535E-01,  96.51629, 0.22336E+03
   1258,2026-01-23T15:01:35.507+00:00, 0.169E-01, 100.00000, 0.23486E+03
