s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 0.0000000E+000, 2.0000000E+001, 3.0000000E+001, 3.5000000E+000
 4.8140802E-001, 1.9999982E+001, 3.0000000E+001, 3.5000000E+000
 7.2211203E-001, 2.0000256E+001, 3.0000000E+001, 3.5000000E+000
 9.6281605E-001, 2.0000880E+001, 3.0000000E+001, 3.5000000E+000
 1.2035201E+000, 2.0002195E+001, 3.0000000E+001, 3.5000000E+000
 1.6849281E+000, 2.0004756E+001, 3.0000000E+001, 3.5000000E+000
 1.9256321E+000, 2.0007792E+001, 3.0000000E+001, 3.5000000E+000
 2.1663361E+000, 2.0009985E+001, 3.0000000E+001, 3.5000000E+000
 2.4070401E+000, 2.0011810E+001, 3.0000000E+001, 3.5000000E+000
 2.8884481E+000, 2.0015087E+001, 3.0000000E+001, 3.5000000E+000
 3.1291522E+000, 2.0018441E+001, 3.0000000E+001, 3.5000000E+000
 3.3698562E+000, 2.0020856E+001, 3.0000000E+001, 3.5000000E+000
 3.6105602E+000, 2.0023367E+001, 3.0000000E+001, 3.5000000E+000
 4.0919682E+000, 2.0027705E+001, 3.0000000E+001, 3.5000000E+000
 4.3326722E+000, 2.0032484E+001, 3.0000000E+001, 3.5000000E+000
 4.5733762E+000, 2.0035874E+001, 3.0000000E+001, 3.5000000E+000
 4.8140802E+000, 2.0039136E+001, 3.0000000E+001, 3.5000000E+000
 5.2954883E+000, 2.0044586E+001, 3.0000000E+001, 3.5000000E+000
 5.5361923E+000, 2.0050608E+001, 3.0000000E+001, 3.5000000E+000
 5.7768963E+000, 2.0054974E+001, 3.0000000E+001, 3.5000000E+000
 6.0176003E+000, 2.0059586E+001, 3.0000000E+001, 3.5000000E+000
 6.4465021E+000, 2.0066104E+001, 3.0000000E+001, 3.5000000E+000
 6.6609530E+000, 2.0072811E+001, 3.0000000E+001, 3.5000000E+000
 7.0898549E+000, 2.0079603E+001, 3.0000000E+001, 3.5000000E+000
 7.3043058E+000, 2.0086551E+001, 3.0000000E+001, 3.5000000E+000
 7.5187567E+000, 2.0091333E+001, 3.0000000E+001, 3.5000000E+000
 7.9476585E+000, 2.0098868E+001, 3.0000000E+001, 3.5000000E+000
 8.1621094E+000, 2.0106875E+001, 3.0000000E+001, 3.5000000E+000
 8.5910113E+000, 2.0115503E+001, 3.0000000E+001, 3.5000000E+000
 8.8054622E+000, 2.0124644E+001, 3.0000000E+001, 3.5000000E+000
 9.0199131E+000, 2.0131027E+001, 3.0000000E+001, 3.5000000E+000
 9.4488149E+000, 2.0140985E+001, 3.0000000E+001, 3.5000000E+000
