s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 0.0000000E+000, 0.0000000E+000,-9.2499970E-003, 3.0670133E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2469299E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000,-2.9654779E+000
 4.8140803E-001, 2.5035884E+000, 8.6868156E-005,-1.7900159E-002, 1.7525908E-005,-3.7070135E-004, 5.9981321E-001, 0.0000000E+000,-5.1970057E-001, 3.0852352E+000, 4.0477095E+000, 1.1979152E-004, 0.0000000E+000,-2.9522389E+000,-2.9587146E+000,-2.9579819E+000,-2.9582240E+000,-2.9449989E+000,-2.9523577E+000,-2.9453177E+000
 7.2211206E-001, 1.0045064E+001,-2.4028908E-003,-2.5847244E-002,-5.1743915E-003,-7.1938042E-004, 3.2218091E+000, 0.0000000E+000, 5.7506695E+000, 1.3232729E+001, 1.5335546E+001, 2.3958305E-004, 0.0000000E+000,-2.5418026E+000,-2.9444576E+000,-2.9435823E+000,-2.9441704E+000,-2.9058095E+000,-2.9268334E+000,-2.9057939E+000
 9.6281606E-001, 2.0794660E+001,-9.3726692E-003,-2.0284372E-002,-2.4072677E-002,-9.2018142E-004, 6.3853578E+000, 0.0000000E+000, 1.2660845E+001, 2.7125368E+001, 2.1192003E+001, 3.1944406E-004, 0.0000000E+000,-1.7384071E+000,-2.9241207E+000,-2.9267579E+000,-2.9272757E+000,-2.8607328E+000,-2.8964262E+000,-2.8588461E+000
 1.2035201E+000, 2.2840100E+001,-1.1092197E+000,-1.3516112E-002,-7.0293582E-002,-1.1829815E-003, 8.6789274E+000, 0.0000000E+000, 2.7585301E+001, 3.0324815E+001, 2.5556254E+001, 3.9930508E-004, 0.0000000E+000,-1.0999861E-001,-2.8998419E+000,-2.9120029E+000,-2.9114593E+000,-2.8223272E+000,-2.8686640E+000,-2.8164445E+000
 1.6849281E+000, 3.8124360E+001,-4.9296675E+000, 1.1268566E-002,-1.7162776E-001,-1.5433726E-003, 1.2569457E+001, 0.0000000E+000, 3.9567026E+001, 4.5602247E+001, 2.9639077E+001, 5.1909660E-004, 0.0000000E+000, 4.4529840E+000,-2.8517685E+000,-2.9011903E+000,-2.8942769E+000,-2.7958676E+000,-2.8412498E+000,-2.7765049E+000
 1.9256321E+000, 4.9330023E+001,-1.4752588E+001, 4.0122996E-002,-2.8436140E-001,-1.9830887E-003, 1.2651822E+001, 0.0000000E+000, 3.9062671E+001, 4.6983036E+001, 3.1999657E+001, 6.3888813E-004, 0.0000000E+000, 6.6955440E+000,-2.8351360E+000,-2.9076420E+000,-2.8958728E+000,-2.8114257E+000,-2.8455962E+000,-2.7846676E+000
 2.1663361E+000, 4.3764101E+001,-1.4907179E+001, 5.7852227E-002,-3.5394871E-001,-2.2523304E-003, 1.2496283E+001, 0.0000000E+000, 4.6484675E+001, 4.1054857E+001, 3.2852551E+001, 7.1874914E-004, 0.0000000E+000, 9.3400747E+000,-2.8277554E+000,-2.9212635E+000,-2.9042848E+000,-2.8422157E+000,-2.8607764E+000,-2.8094281E+000
 2.4070401E+000, 4.4666731E+001,-8.8652010E+000, 7.6110191E-002,-3.8813788E-001,-2.5164589E-003, 1.2672450E+001, 0.0000000E+000, 3.8418552E+001, 4.8159436E+001, 3.3390625E+001, 7.9861016E-004, 0.0000000E+000, 1.1534447E+001,-2.8317486E+000,-2.9394832E+000,-2.9181995E+000,-2.8820885E+000,-2.8839754E+000,-2.8461877E+000
