,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2026-01-28T11:12:28.972+00:00, 0.241E+00,   0.24070, 0.17828E+02
      2,2026-01-28T11:12:29.586+00:00, 0.241E+00,   0.48141, 0.18438E+02
      3,2026-01-28T11:12:30.456+00:00, 0.241E+00,   0.72211, 0.19297E+02
      4,2026-01-28T11:12:31.041+00:00, 0.241E+00,   0.96282, 0.19875E+02
      5,2026-01-28T11:12:31.613+00:00, 0.241E+00,   1.20352, 0.20453E+02
      6,2026-01-28T11:12:32.426+00:00, 0.241E+00,   1.44422, 0.21250E+02
      7,2026-01-28T11:12:33.030+00:00, 0.241E+00,   1.68493, 0.21844E+02
      8,2026-01-28T11:12:33.625+00:00, 0.241E+00,   1.92563, 0.22438E+02
      9,2026-01-28T11:12:34.481+00:00, 0.241E+00,   2.16634, 0.23281E+02
     10,2026-01-28T11:12:35.071+00:00, 0.241E+00,   2.40704, 0.23859E+02
     20,2026-01-28T11:12:41.486+00:00, 0.241E+00,   4.81408, 0.30234E+02
     30,2026-01-28T11:12:48.317+00:00, 0.214E+00,   7.08985, 0.37016E+02
     40,2026-01-28T11:12:54.966+00:00, 0.214E+00,   9.23436, 0.43609E+02
     50,2026-01-28T11:13:01.803+00:00, 0.161E+00,  11.01641, 0.50422E+02
     60,2026-01-28T11:13:08.681+00:00, 0.137E+00,  12.57650, 0.57203E+02
     70,2026-01-28T11:13:15.036+00:00, 0.137E+00,  13.95048, 0.63516E+02
     80,2026-01-28T11:13:21.326+00:00, 0.137E+00,  15.32445, 0.69719E+02
     90,2026-01-28T11:13:27.822+00:00, 0.137E+00,  16.69843, 0.76125E+02
    100,2026-01-28T11:13:34.305+00:00, 0.135E+00,  18.14784, 0.82547E+02
    200,2026-01-28T11:14:39.784+00:00, 0.111E+00,  29.68366, 0.14741E+03
    300,2026-01-28T11:15:45.614+00:00, 0.102E+00,  39.90692, 0.21278E+03
    400,2026-01-28T11:16:52.019+00:00, 0.696E-01,  49.28852, 0.27855E+03
    500,2026-01-28T11:17:56.440+00:00, 0.866E-01,  57.89927, 0.34225E+03
    600,2026-01-28T11:19:00.795+00:00, 0.850E-01,  66.35503, 0.40603E+03
    700,2026-01-28T11:20:05.728+00:00, 0.572E-01,  74.27014, 0.47034E+03
    800,2026-01-28T11:21:11.384+00:00, 0.770E-01,  81.77052, 0.53531E+03
    900,2026-01-28T11:22:15.408+00:00, 0.743E-01,  89.07279, 0.59886E+03
   1000,2026-01-28T11:23:19.053+00:00, 0.597E-01,  96.00070, 0.66208E+03
   1100,2026-01-28T11:24:22.782+00:00, 0.706E-01, 102.93891, 0.72517E+03
   1200,2026-01-28T11:25:35.117+00:00, 0.595E-01, 109.74975, 0.79570E+03
   1300,2026-01-28T11:26:39.204+00:00, 0.690E-01, 116.67237, 0.85931E+03
   1400,2026-01-28T11:27:46.276+00:00, 0.666E-01, 123.61995, 0.92531E+03
   1500,2026-01-28T11:29:03.463+00:00, 0.624E-01, 129.92617, 0.99745E+03
   1600,2026-01-28T11:30:07.963+00:00, 0.666E-01, 136.41927, 0.10615E+04
   1700,2026-01-28T11:31:12.721+00:00, 0.671E-01, 142.89762, 0.11257E+04
